RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-952,Aluno-952,1N,Topázio,9.545454545,6.26,8.333333333,9.175,9,1
RA-953,Aluno-953,ALFA,Ametista,8.8,3.14,6.5625,7.09,8,0
RA-953,Aluno-953,1N,Ametista,6.85770751,6.26,8.125,7.755,9,1
RA-954,Aluno-954,ALFA,Agata,8.3,3.14,7.1875,8.005,8,0
RA-954,Aluno-954,1N,Topázio,8.8833992095,6.26,8.125,7.835,9,1
RA-955,Aluno-955,ALFA,Ametista,8.8,3.14,6.875,7.09,10,0
RA-955,Aluno-955,1K,Agata,6.904761905,7.51,8.125,8.255,11,1
RA-956,Aluno-956,ALFA,Ametista,7.5,7.52,7.5,9.345,11,0
RA-956,Aluno-956,1N,Agata,6.017786561,6.885,7.083333333,7.085,12,1
RA-957,Aluno-957,ALFA,Topázio,9.3,7.52,7.5,9.925,9,0
RA-958,Aluno-958,ALFA,Topázio,9.8,7.52,7.5,9.84,8,0
RA-958,Aluno-958,1M,Topázio,10.0,6.26,9.53125,9.76,9,1
RA-959,Aluno-959,ALFA,Topázio,9.6,7.52,6.875,8.84,8,0
RA-959,Aluno-959,ALFA,Topázio,9.7368421055,7.51,7.8125,7.5,9,1
RA-96,Aluno-96,5,Ametista,7.8,6.9,,8.5,16,1
RA-96,Aluno-96,FASE 6,Ametista,8.9,7.52,7.65625,7.84,17,2
RA-96,Aluno-96,8F,,0.0,,,,18,3
RA-960,Aluno-960,ALFA,Ametista,10.0,7.52,5.625,5.85,10,0
RA-960,Aluno-960,1K,Quartzo,8.095238095,7.51,7.5,5.33,11,1
RA-961,Aluno-961,ALFA,Quartzo,8.7,2.52,5.3125,8.665,9,0
RA-961,Aluno-961,1M,Agata,8.8923395445,6.26,5.9375,5.155,10,1
RA-962,Aluno-962,ALFA,Topázio,9.2,7.52,7.5,10.01,9,0
RA-963,Aluno-963,ALFA,Topázio,9.8,7.52,7.5,10.01,9,0
RA-963,Aluno-963,1R,Topázio,9.761904762,7.51,8.125,8.045,10,1
RA-964,Aluno-964,ALFA,Ametista,9.4,7.52,6.875,8.5,9,0
RA-964,Aluno-964,1R,Ametista,8.333333332999999,7.51,7.96875,7.1675,10,1
RA-965,Aluno-965,ALFA,Agata,8.2,6.27,5.0,7.18,9,0
RA-965,Aluno-965,ALFA,Agata,6.4772727275,7.51,8.75,6.83,10,1
RA-966,Aluno-966,ALFA,Ametista,10.0,7.52,6.5625,7.675,9,0
RA-966,Aluno-966,ALFA,Ametista,8.568181818,7.51,8.125,7.335,10,1
RA-967,Aluno-967,ALFA,Ametista,8.0,7.52,5.625,7.35,10,0
RA-967,Aluno-967,1R,Quartzo,3.5714285715,7.51,5.78125,4.995,11,1
RA-968,Aluno-968,ALFA,Topázio,9.7,7.52,7.5,10.01,9,0
RA-968,Aluno-968,1R,Ametista,8.8095238095,7.51,8.4375,7.6675,10,1
RA-969,Aluno-969,ALFA,Ametista,9.7,7.52,6.25,7.51,8,0
RA-969,Aluno-969,ALFA,Ametista,7.8636363634999995,7.51,8.125,7.335,9,1
RA-97,Aluno-97,5,Ametista,8.8,5.0,,6.292,15,5
RA-970,Aluno-970,ALFA,Topázio,8.1,7.52,9.375,9.84,8,0
RA-971,Aluno-971,ALFA,Ametista,6.4,3.77,5.625,8.17,8,0
RA-971,Aluno-971,ALFA,Agata,7.909090909,7.51,7.5,6.085,9,1
RA-972,Aluno-972,ALFA,Ametista,9.1,3.77,6.875,7.84,8,0
RA-972,Aluno-972,ALFA,Ametista,8.3863636365,7.51,8.75,7.17,9,1
RA-973,Aluno-973,ALFA,Quartzo,8.6,3.77,7.1875,7.415,9,0
RA-973,Aluno-973,ALFA,Agata,9.318181818,7.51,7.5,6.585,10,1
RA-974,Aluno-974,ALFA,Topázio,9.1,3.77,7.5,9.34,8,0
RA-974,Aluno-974,ALFA,Ametista,9.282608695499999,7.51,7.5,7.5,9,1
RA-975,Aluno-975,ALFA,Ametista,9.2,7.52,5.625,7.67,8,0
RA-975,Aluno-975,ALFA,Ametista,7.708333333500001,5.01,6.875,7.33,9,1
RA-976,Aluno-976,ALFA,Topázio,9.2,6.27,5.9375,8.34,8,0
RA-977,Aluno-977,ALFA,Ametista,7.4,5.02,5.625,8.085,8,0
RA-977,Aluno-977,ALFA,Ametista,7.291666666499999,6.26,6.875,7.58,9,1
RA-978,Aluno-978,ALFA,Topázio,9.8,3.77,5.625,9.34,8,0
RA-978,Aluno-978,ALFA,Ametista,9.5,6.26,6.875,7.5,9,1
RA-979,Aluno-979,ALFA,Topázio,9.6,6.27,5.625,9.51,8,0
RA-979,Aluno-979,ALFA,Topázio,9.5227272725,7.51,8.125,7.335,9,1
RA-98,Aluno-98,5,Topázio,10.0,9.4,,9.667,15,5
RA-98,Aluno-98,FASE 7,,,2.52,,,16,6
RA-98,Aluno-98,7E,Topázio,9.546,7.1975,7.5,7.5,17,3
RA-980,Aluno-980,ALFA,Ametista,9.8,5.02,5.625,9.34,8,0
RA-980,Aluno-980,1P,Ametista,9.058441558,7.51,7.5,7.4175,9,1
RA-981,Aluno-981,ALFA,Ametista,9.1,2.52,5.625,9.01,7,0
RA-981,Aluno-981,ALFA,Agata,7.010869565,6.26,6.25,6.99,8,1
RA-982,Aluno-982,ALFA,Ametista,9.1,2.52,5.625,8.835,8,0
RA-982,Aluno-982,1P,Topázio,8.365800865499999,7.51,6.875,6.79,9,1
RA-983,Aluno-983,ALFA,Topázio,9.9,2.52,6.25,9.415,9,0
RA-984,Aluno-984,ALFA,Topázio,9.8,7.52,6.875,9.84,9,0
RA-984,Aluno-984,1R,Topázio,9.761904762,7.51,8.125,8.045,10,1
RA-985,Aluno-985,ALFA,Ametista,9.3,2.52,5.625,8.5,8,0
RA-985,Aluno-985,1P,Topázio,10.0,6.26,7.5,7.585,9,1
RA-986,Aluno-986,ALFA,Topázio,9.1,2.52,5.625,8.83,8,0
RA-986,Aluno-986,1P,Topázio,9.2965367965,6.26,7.083333333,6.8325,9,1
RA-987,Aluno-987,ALFA,Ametista,9.8,6.27,6.875,9.76,8,0
RA-987,Aluno-987,1P,Topázio,9.0692640695,7.51,7.708333333,7.835,9,1
RA-988,Aluno-988,ALFA,Ametista,8.1,7.52,6.25,9.84,9,0
RA-988,Aluno-988,1P,Topázio,10.0,7.51,8.333333333,7.96,10,1
RA-989,Aluno-989,ALFA,Ametista,8.1,2.52,7.5,10.01,9,0
RA-989,Aluno-989,1R,Ametista,7.8571428569999995,6.26,7.1875,6.54,10,1
RA-99,Aluno-99,5,Ágata,6.3,7.5,,5.833,16,3
RA-99,Aluno-99,FASE 6,Agata,8.3,5.63,7.8125,7.4225,17,4
RA-990,Aluno-990,ALFA,Ametista,8.5,7.52,7.5,10.01,9,0
RA-990,Aluno-990,1A,Ametista,7.5,7.51,8.4375,8.336666667,10,1
RA-991,Aluno-991,ALFA,Ametista,9.1,3.14,6.875,9.585,9,0
RA-991,Aluno-991,1A,Ametista,8.181818182,6.26,7.5,6.723333333,10,1
RA-992,Aluno-992,ALFA,Ametista,8.2,3.14,5.0,8.84,11,0
RA-993,Aluno-993,ALFA,Topázio,9.8,3.77,7.5,10.01,8,0
RA-994,Aluno-994,ALFA,Ametista,9.4,3.77,5.625,7.265,9,0
RA-994,Aluno-994,ALFA,Ametista,9.532608695499999,6.88,6.875,7.33,10,1
RA-995,Aluno-995,ALFA,Agata,7.9,3.77,6.25,7.18,11,0
RA-995,Aluno-995,1E,Quartzo,5.3896103895,5.635,7.1875,4.25,12,1
RA-996,Aluno-996,ALFA,Topázio,9.2,3.77,7.5,10.01,9,0
RA-997,Aluno-997,ALFA,Ametista,8.7,3.77,5.625,8.595,8,0
RA-998,Aluno-998,ALFA,Ametista,9.3,3.77,7.5,9.84,11,0
RA-999,Aluno-999,ALFA,Topázio,9.4,3.77,7.5,9.84,9,0
