RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-834,Aluno-834,2L,Topázio,9.109730849,6.26,7.708333333,8.723333333,11,2
RA-835,Aluno-835,0,Ametista,7.3,7.5,,6.667,8,0
RA-835,Aluno-835,ALFA,Topázio,8.5,7.52,6.875,7.835,9,1
RA-836,Aluno-836,0,Ametista,8.3,7.5,,7.583,9,0
RA-836,Aluno-836,ALFA,Ametista,9.6,6.27,6.875,8.085,10,1
RA-836,Aluno-836,1J,Agata,6.439393939,7.51,7.34375,6.25,11,2
RA-837,Aluno-837,0,Topázio,9.0,7.5,,7.5,8,0
RA-837,Aluno-837,FASE 1,Topázio,9.3,7.52,7.916666667,7.836666667,9,1
RA-837,Aluno-837,2G,Ametista,9.782608695499999,6.885,7.03125,7.5825,10,2
RA-838,Aluno-838,0,Ametista,7.4,7.5,,9.417,9,0
RA-839,Aluno-839,0,Quartzo,5.1,7.5,,6.583,9,0
RA-84,Aluno-84,5,Ágata,8.8,5.0,,6.75,17,4
RA-84,Aluno-84,FASE 6,Agata,8.8,2.52,7.8125,7.6725,18,5
RA-840,Aluno-840,0,Ametista,8.2,7.5,,7.5,8,0
RA-840,Aluno-840,ALFA,Ametista,9.0,4.38,7.5,8.59,9,1
RA-840,Aluno-840,1G,Topázio,9.337121212,7.51,8.333333333,7.946666667,10,2
RA-841,Aluno-841,0,Ametista,8.5,7.5,,7.5,11,0
RA-841,Aluno-841,ALFA,Agata,7.2,7.52,7.5,9.84,12,1
RA-841,Aluno-841,2H,Agata,6.3272311215000006,7.51,7.03125,5.83,13,2
RA-842,Aluno-842,0,Ametista,8.3,7.5,,8.25,8,0
RA-842,Aluno-842,ALFA,Ametista,8.5,3.77,5.625,8.01,9,1
RA-842,Aluno-842,1G,Ametista,7.549407115,6.26,6.875,6.996666667,10,2
RA-843,Aluno-843,0,Topázio,9.0,7.5,,8.417,8,0
RA-844,Aluno-844,0,Ágata,5.0,8.1,,8.333,8,0
RA-845,Aluno-845,0,Topázio,8.8,7.5,,8.417,8,0
RA-846,Aluno-846,0,Ametista,7.2,7.5,,7.917,7,0
RA-846,Aluno-846,ALFA,Ametista,8.2,3.77,5.625,8.67,8,1
RA-847,Aluno-847,0,Ágata,8.2,4.4,,7.417,9,0
RA-847,Aluno-847,ALFA,Agata,9.1,2.52,5.0,5.84,10,1
RA-847,Aluno-847,1D,Quartzo,4.5454545455,5.01,7.5,6.245,11,2
RA-848,Aluno-848,0,Ametista,7.0,7.5,,7.833,9,0
RA-849,Aluno-849,0,Ametista,8.3,7.5,,7.417,9,0
RA-85,Aluno-85,5,Ágata,7.3,5.0,,5.833,15,0
RA-85,Aluno-85,FASE 5,Ametista,8.9,6.27,5.9375,7.8425,16,1
RA-85,Aluno-85,5N,Agata,8.668046928999999,3.755,6.25,6.993333333,17,2
RA-850,Aluno-850,0,Ametista,7.3,7.5,,7.167,8,0
RA-850,Aluno-850,ALFA,Agata,7.9,6.26,6.5625,6.265,9,1
RA-850,Aluno-850,1C,Ametista,9.2727272725,6.255,7.5,7.92,10,2
RA-851,Aluno-851,0,Ametista,7.9,7.5,,6.583,8,0
RA-851,Aluno-851,ALFA,Agata,7.5,2.52,5.625,6.01,9,1
RA-851,Aluno-851,1B,Agata,7.3221343875,5.63,5.625,5.106666667,10,2
